,sentence,entities
0,"Bedside to bench: the outlook for
psychedelic research
Victor P.","['Victor', 'Bedside']"
1,"Acero1,2,3,4, Emily S.",['Emily']
2,"Cribas4,5, Kevin D.",['Kevin']
3,"Browne1,2,
Olivia Rivellini1,2,4, Justin C.","['Olivia', 'Justin']"
4,"Burrell1,2,3, John C.",['John']
5,"O ’Donnell1,2,4,
Suradip Das1,2and D.",['Suradip']
6,"Kacy Cullen1,2,3*
1Center for Brain Injury and Repair, Department of Neurosurgery, Perelman School of Medicine, University
of Pennsylvania, Philadelphia, PA, United States,2Center for Neurotrauma, Neurodegeneration and
Restoration, Corporal Michael J.","['Injury', 'Repair', 'Corporal', 'Kacy', 'Philadelphia', 'United', 'gene', 'Medicine', 'University', 'States', 'Brain', 'Neurodegeneration', 'Pennsylvania', 'Neurosurgery', 'Department', 'Neurotrauma', 'Michael', 'School', 'Perelman', 'Restoration']"
7,"Crescenz Veterans Affairs Medical Center, Philadelphia, PA,United States,
3Department of Bioengineering, School of Engineering and Applied Science, University of
Pennsylvania, Philadelphia, PA, United States,4Penn Psychedelics Collaborative, University of
Pennsylvania, Philadelphia, PA, United States,5Department of Microbiology, Perelman School of
Medicine, University of Pennsylvania, Philadelphia, PA, United States
There has recently been a resurgence of interest in psychedelic compounds based
on studies demonstrating their potential therapeutic applications in treating post-
traumatic stress disorder, substance abuse disorders, and treatment-resistant
depression.","['Crescenz', 'Applied', 'Microbiology', 'Engineering', 'Philadelphia', 'United', 'Center', 'Affairs', 'Bioengineering', 'Medicine', 'University', 'Science', 'Veterans', 'States', 'Collaborative', 'Pennsylvania', 'Medical', 'School', 'Psychedelics', 'Perelman', 'There']"
8,"Despite promising ef ﬁcacy observed in some clinical trials, the full
range of biological effects and mechanism(s) of action of these compounds haveyet to be fully established.",['Despite']
9,"Indeed, most studies to date have focused on assessingthe psychological mechanisms of psychedelics, often neglecting the non-psychological modes of action.",['Indeed']
10,"However, it is important to understand thatpsychedelics may mediate their therapeutic effects through multi-facetedmechanisms, such as the modulation of brain network activity, neuronal
plasticity, neuroendocrine function, glial cell regulation, epigenetic processes,
and the gut-brain axis.","['gene', 'However']"
11,"This review provides a framework supporting theimplementation of a multi-faceted approach, incorporating in silico ,in vitro
and in vivo modeling, to aid in the comprehensive understanding of the
physiological effects of psychedelics and their potential for clinical applicationbeyond the treatment of psychiatric disorders.",['This']
12,"We also provide an overview of theliterature supporting the potential utility of psychedelics for the treatment of braininjury (e.g., stroke and traumatic brain injury), neurodegenerative diseases (e.g.,
Parkinson ’s and Alzheimer ’s diseases), and gut-brain axis dysfunction associated
with psychiatric disorders (e.g., generalized anxiety disorder and major depressivedisorder).","['gene', 'Alzheimer', 'parkinson', 'Parkinson', 'alzheimer']"
13,"To move the ﬁeld forward, we outline advantageous experimental
frameworks to explore these and other novel applications for psychedelics.
KEYWORDS
psychedelics, psilocybin, salvinorin, ketamine, mechanism of action (MOA), MDMA, DMT,
ayahuasca
1 Introduction
Psychedelics refer to a diverse array of chemical compounds that induce distinctly
“mystical-type ”experiences and non-ordinary states of consciousness.","['Psychedelics', 'Introduction']"
14,"The term
“psychedelic ”, meaning mind manifesting, was introduced by Humphrey Osmond in
1956, as an alternative to “psychomimetic ”, meaning “madness mimicking ”(Lee, 1992 ;
Dyck, 2006 ).","['Osmond', 'The', 'Humphrey', 'Dyck', 'Lee']"
15,"Some scholars also proposed the term “entactogen ”, meaning touching within
orreaching inside , due to the capacity for certain compounds to enhance therapeutic
memory retrieval.",['Some']
16,"The 1950s and 1960s would see an explosion in research into theOPEN ACCESS
EDITED BY
Marco Scarselli,
University of Pisa, Italy
REVIEWED BY
Letizia Biso,University of Pisa, ItalyNathan Emmerich,Australian National University, Australia
*CORRESPONDENCE
D.","['Emmerich', 'Australian', 'The', 'Letizia', 'Scarselli', 'Australia', 'National', 'Biso', 'Marco', 'Italy', 'Pisa', 'University']"
